 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:1998
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"160053 Porto Grande";10;9;22;17;30;16;20;30;17;14;11;9;205
"160055 Pracuúba";4;8;4;1;11;6;3;2;1;1;1;4;46
"160060 Santana";217;198;244;275;244;233;230;255;278;237;186;216;2813
"160005 Serra do Navio";10;3;8;9;6;11;11;17;6;5;14;8;108
"160070 Tartarugalzinho";-;2;3;7;8;11;9;10;6;4;4;6;70
"160080 Vitória do Jari";16;11;15;14;10;22;15;20;19;13;21;11;187
"160000 Município ignorado - AP";-;-;-;-;1;-;1;1;1;1;-;-;5
"170025 Abreulândia";6;3;2;2;3;2;2;-;1;1;3;2;27
"170030 Aguiarnópolis";5;1;4;7;5;3;2;5;3;5;5;2;47
"170035 Aliança do Tocantins";5;13;12;9;11;20;13;9;8;13;8;13;134
"170040 Almas";20;18;28;13;15;14;27;17;18;17;22;23;232
"170070 Alvorada";17;14;11;16;17;13;14;16;14;11;15;6;164
"170100 Ananás";30;29;16;26;18;19;31;29;25;21;21;22;287
"170105 Angico";-;5;6;2;2;2;2;5;5;4;5;3;41
"170110 Aparecida do Rio Negro";3;1;5;4;3;5;7;6;6;6;3;3;52
"170130 Aragominas";5;3;4;6;11;9;6;9;2;2;6;8;71
"170190 Araguacema";11;10;5;11;11;4;7;11;6;8;7;8;99
"170200 Araguaçu";11;15;10;14;29;10;21;15;22;18;19;18;202
"170210 Araguaína";238;239;270;259;264;249;237;253;265;231;243;224;2972
"170215 Araguanã";11;1;12;7;7;6;9;9;5;10;9;7;93
"170220 Araguatins";47;47;54;56;67;64;72;63;60;44;53;42;669
"170230 Arapoema";21;11;19;23;13;17;18;16;14;15;13;17;197
"170240 Arraias";28;26;36;22;23;12;23;20;18;13;17;21;259
"170255 Augustinópolis";30;32;32;29;26;34;24;42;34;29;40;26;378
"170270 Aurora do Tocantins";5;5;6;6;2;9;3;2;6;6;5;2;57
"170290 Axixá do Tocantins";17;16;24;22;24;23;25;28;23;22;22;25;271
"170300 Babaçulândia";10;11;22;9;15;10;18;14;10;17;10;13;159
"170305 Bandeirantes do Tocantins";5;2;3;8;2;6;5;4;12;3;7;3;60
"170307 Barra do Ouro";2;2;-;3;3;4;5;3;7;3;6;1;39
"170310 Barrolândia";6;7;13;10;9;7;9;6;10;7;4;4;92
"170320 Bernardo Sayão";4;5;2;7;7;7;4;4;9;6;5;7;67
"170330 Bom Jesus do Tocantins";3;2;3;2;5;4;3;3;2;2;1;2;32
