"Tabela 2612 - Nascidos vivos, ocorridos no ano, por mês do nascimento, sexo, local de nascimento, número de nascidos por parto, idade da mãe na ocasião do parto e lugar de residência da mãe",,,,,,,,,,,,,,,,
Variável - Nascidos vivos ocorridos no ano (Pessoas),,,,,,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Ano x Mês do nascimento x Sexo x Local do nascimento,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,2016,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
MU,1506104,Primavera (PA),Total,Total,15,14,16,12,19,7,18,15,15,10,9,22
MU,1506112,Quatipuru (PA),Total,Total,16,16,17,15,16,14,11,19,18,7,14,20
MU,1506138,Redenção (PA),Total,Total,153,153,171,160,141,148,135,144,143,140,123,134
MU,1506161,Rio Maria (PA),Total,Total,22,27,29,28,30,24,21,25,26,15,22,21
MU,1506187,Rondon do Pará (PA),Total,Total,42,42,47,53,51,53,51,46,53,54,37,30
MU,1506195,Rurópolis (PA),Total,Total,32,32,31,39,33,28,25,28,34,38,25,25
MU,1506203,Salinópolis (PA),Total,Total,53,39,56,63,55,50,61,54,46,63,38,33
MU,1506302,Salvaterra (PA),Total,Total,37,26,32,36,24,35,32,26,29,35,20,20
MU,1506351,Santa Bárbara do Pará (PA),Total,Total,23,31,30,28,29,29,20,30,23,15,27,20
MU,1506401,Santa Cruz do Arari (PA),Total,Total,5,12,5,6,14,7,5,12,11,9,8,10
MU,1506500,Santa Izabel do Pará (PA),Total,Total,39,29,25,51,36,40,29,46,51,78,54,52
MU,1506559,Santa Luzia do Pará (PA),Total,Total,26,21,20,33,22,27,32,30,25,38,9,22
MU,1506583,Santa Maria das Barreiras (PA),Total,Total,6,10,13,12,13,11,12,15,14,11,4,6
MU,1506609,Santa Maria do Pará (PA),Total,Total,27,25,29,35,37,20,35,33,25,31,34,34
MU,1506708,Santana do Araguaia (PA),Total,Total,45,42,33,37,58,40,48,50,30,51,38,34
MU,1506807,Santarém (PA),Total,Total,533,418,471,471,464,448,428,428,434,465,411,413
MU,1506906,Santarém Novo (PA),Total,Total,12,15,11,7,10,7,8,11,8,13,11,8
MU,1507003,Santo Antônio do Tauá (PA),Total,Total,33,37,31,38,35,36,48,46,28,38,34,38
MU,1507102,São Caetano de Odivelas (PA),Total,Total,17,15,14,20,21,19,11,14,15,19,19,12
MU,1507151,São Domingos do Araguaia (PA),Total,Total,32,28,37,36,37,32,25,30,24,28,33,33
MU,1507201,São Domingos do Capim (PA),Total,Total,43,36,36,37,35,40,35,35,46,40,32,37
MU,1507300,São Félix do Xingu (PA),Total,Total,72,63,75,60,64,73,72,65,58,52,54,45
MU,1507409,São Francisco do Pará (PA),Total,Total,24,19,23,14,22,24,6,16,18,18,19,20
MU,1507458,São Geraldo do Araguaia (PA),Total,Total,33,23,41,32,42,36,36,20,36,34,37,21
MU,1507466,São João da Ponta (PA),Total,Total,5,10,11,2,6,3,7,4,9,7,5,4
MU,1507474,São João de Pirabas (PA),Total,Total,35,28,19,26,25,23,20,23,26,20,27,14
MU,1507508,São João do Araguaia (PA),Total,Total,6,6,6,9,8,5,7,6,7,11,11,11
MU,1507607,São Miguel do Guamá (PA),Total,Total,89,86,67,74,84,69,70,67,74,72,73,69
MU,1507706,São Sebastião da Boa Vista (PA),Total,Total,62,53,40,54,58,46,53,51,51,52,47,39
MU,1507755,Sapucaia (PA),Total,Total,8,6,6,7,11,11,9,6,6,8,9,7
MU,1507805,Senador José Porfírio (PA),Total,Total,28,22,10,17,16,15,15,16,18,7,12,17
MU,1507904,Soure (PA),Total,Total,22,28,21,26,25,36,37,35,21,33,18,16
MU,1507953,Tailândia (PA),Total,Total,115,99,81,131,126,126,124,111,122,88,106,99
MU,1507961,Terra Alta (PA),Total,Total,18,8,8,15,17,16,26,26,24,18,18,20
MU,1507979,Terra Santa (PA),Total,Total,18,19,21,19,20,12,9,19,7,13,10,17
MU,1508001,Tomé-Açu (PA),Total,Total,124,118,112,101,123,108,110,121,115,104,82,110
MU,1508035,Tracuateua (PA),Total,Total,46,34,39,45,49,37,37,51,44,43,30,55
MU,1508050,Trairão (PA),Total,Total,30,14,19,14,19,15,19,17,18,24,15,19
MU,1508084,Tucumã (PA),Total,Total,49,62,48,61,59,47,56,60,55,60,50,54
MU,1508100,Tucuruí (PA),Total,Total,150,132,128,164,150,144,151,157,172,173,155,128
MU,1508126,Ulianópolis (PA),Total,Total,30,38,35,34,38,37,34,45,36,46,24,31
MU,1508159,Uruará (PA),Total,Total,52,60,58,72,69,57,58,51,69,48,64,66
MU,1508209,Vigia (PA),Total,Total,70,70,67,57,67,58,53,59,69,51,50,56
MU,1508308,Viseu (PA),Total,Total,87,92,85,75,101,80,101,105,89,85,70,55
MU,1508357,Vitória do Xingu (PA),Total,Total,22,28,22,26,34,22,30,33,31,27,20,13
MU,1508407,Xinguara (PA),Total,Total,66,70,79,66,75,64,76,65,70,71,57,66
MU,1600055,Serra do Navio (AP),Total,Total,3,1,3,1,3,-,1,2,-,2,2,1
MU,1600105,Amapá (AP),Total,Total,18,9,7,5,8,11,17,14,7,4,5,4
MU,1600154,Pedra Branca do Amapari (AP),Total,Total,18,19,19,20,19,14,19,14,16,7,6,5
MU,1600204,Calçoene (AP),Total,Total,10,15,12,8,14,15,11,10,12,15,15,15
MU,1600212,Cutias (AP),Total,Total,8,10,8,5,4,6,10,13,5,10,7,3
MU,1600238,Ferreira Gomes (AP),Total,Total,17,10,13,11,16,8,16,16,16,12,17,13
MU,1600253,Itaubal (AP),Total,Total,1,10,3,9,5,7,7,7,9,6,3,4
MU,1600279,Laranjal do Jari (AP),Total,Total,65,58,58,62,66,65,54,54,62,77,59,54
MU,1600303,Macapá (AP),Total,Total,736,660,755,642,671,714,708,695,717,668,659,621
MU,1600402,Mazagão (AP),Total,Total,34,41,24,40,26,23,31,24,28,15,20,28
MU,1600501,Oiapoque (AP),Total,Total,58,44,39,43,36,42,45,47,71,36,34,31
MU,1600535,Porto Grande (AP),Total,Total,27,23,26,20,29,27,27,18,13,18,23,29
MU,1600550,Pracuúba (AP),Total,Total,4,5,10,7,6,5,9,4,5,7,2,8
MU,1600600,Santana (AP),Total,Total,196,212,246,232,185,263,216,241,230,209,200,188
MU,1600709,Tartarugalzinho (AP),Total,Total,26,23,21,20,29,21,18,27,28,35,28,16
MU,1600808,Vitória do Jari (AP),Total,Total,19,26,22,17,25,20,17,17,24,21,18,21
MU,1700251,Abreulândia (TO),Total,Total,1,-,1,3,2,2,7,4,3,3,5,4
MU,1700301,Aguiarnópolis (TO),Total,Total,5,10,10,13,14,15,4,6,9,7,6,5
MU,1700350,Aliança do Tocantins (TO),Total,Total,6,7,6,6,4,3,5,10,7,7,3,6
MU,1700400,Almas (TO),Total,Total,3,4,14,5,16,8,10,12,8,15,3,9
MU,1700707,Alvorada (TO),Total,Total,5,8,8,10,13,4,10,9,10,6,10,4
MU,1701002,Ananás (TO),Total,Total,11,11,14,11,11,16,11,10,9,17,7,11
MU,1701051,Angico (TO),Total,Total,3,4,2,6,2,7,6,6,5,1,6,2
MU,1701101,Aparecida do Rio Negro (TO),Total,Total,7,4,7,7,5,8,8,6,6,4,3,3
MU,1701309,Aragominas (TO),Total,Total,8,6,4,6,5,11,1,10,5,-,4,-
MU,1701903,Araguacema (TO),Total,Total,9,6,7,6,10,6,7,15,4,8,6,6
MU,1702000,Araguaçu (TO),Total,Total,6,6,11,3,14,11,8,7,6,4,7,7
MU,1702109,Araguaína (TO),Total,Total,245,258,242,238,254,272,248,251,257,220,210,118
MU,1702158,Araguanã (TO),Total,Total,10,2,2,4,5,8,9,8,8,11,4,2
MU,1702208,Araguatins (TO),Total,Total,37,37,49,39,33,40,48,35,56,29,38,33
MU,1702307,Arapoema (TO),Total,Total,10,8,11,15,2,12,6,9,12,7,2,3
MU,1702406,Arraias (TO),Total,Total,14,11,14,11,17,9,12,14,12,15,12,9
MU,1702554,Augustinópolis (TO),Total,Total,33,17,26,35,26,23,24,39,25,20,19,23
MU,1702703,Aurora do Tocantins (TO),Total,Total,3,2,3,2,6,6,6,3,3,2,-,1
MU,1702901,Axixá do Tocantins (TO),Total,Total,9,13,16,18,13,24,18,14,15,15,10,17
MU,1703008,Babaçulândia (TO),Total,Total,5,9,11,12,9,9,6,4,8,7,9,7
MU,1703057,Bandeirantes do Tocantins (TO),Total,Total,-,-,3,9,1,3,-,5,6,3,2,1
MU,1703073,Barra do Ouro (TO),Total,Total,7,4,7,8,7,11,7,11,4,6,9,6
MU,1703107,Barrolândia (TO),Total,Total,6,3,7,9,9,8,5,5,7,10,11,7
MU,1703206,Bernardo Sayão (TO),Total,Total,4,4,7,4,9,8,3,6,7,11,6,6
MU,1703305,Bom Jesus do Tocantins (TO),Total,Total,8,3,1,8,5,9,3,6,4,7,4,4
MU,1703602,Brasilândia do Tocantins (TO),Total,Total,2,2,2,1,3,3,4,6,3,2,-,4
MU,1703701,Brejinho de Nazaré (TO),Total,Total,8,5,4,9,4,7,6,10,7,5,10,1
MU,1703800,Buriti do Tocantins (TO),Total,Total,11,10,9,9,9,12,11,15,13,17,9,9
MU,1703826,Cachoeirinha (TO),Total,Total,3,1,-,1,2,1,3,1,2,2,4,1
MU,1703842,Campos Lindos (TO),Total,Total,11,10,14,16,14,11,17,11,20,14,13,12
MU,1703867,Cariri do Tocantins (TO),Total,Total,7,-,12,1,10,3,4,2,1,8,5,3
MU,1703883,Carmolândia (TO),Total,Total,2,1,3,1,4,1,4,-,1,-,3,-
MU,1703891,Carrasco Bonito (TO),Total,Total,8,4,7,6,7,7,5,7,2,3,2,3
MU,1703909,Caseara (TO),Total,Total,4,11,6,7,14,8,3,5,5,7,6,4
MU,1704105,Centenário (TO),Total,Total,4,3,2,2,1,6,-,6,3,3,-,2
MU,1704600,Chapada de Areia (TO),Total,Total,-,1,2,1,-,2,1,2,-,-,1,1
MU,1705102,Chapada da Natividade (TO),Total,Total,5,1,2,3,5,3,3,1,3,3,3,6
MU,1705508,Colinas do Tocantins (TO),Total,Total,36,40,55,45,53,44,54,50,37,63,39,37
MU,1705557,Combinado (TO),Total,Total,3,5,2,4,8,6,4,2,5,3,2,6
MU,1705607,Conceição do Tocantins (TO),Total,Total,2,5,3,3,5,6,3,3,4,6,7,8
MU,1706001,Couto Magalhães (TO),Total,Total,8,6,15,5,10,7,2,8,5,10,3,6
MU,1706100,Cristalândia (TO),Total,Total,3,-,2,8,6,7,8,7,7,6,6,6
MU,1706258,Crixás do Tocantins (TO),Total,Total,-,4,2,3,2,2,3,1,1,3,1,-
MU,1706506,Darcinópolis (TO),Total,Total,6,8,7,8,13,8,6,8,6,8,3,7
MU,1707009,Dianópolis (TO),Total,Total,23,24,27,34,18,21,27,11,26,34,14,21
MU,1707108,Divinópolis do Tocantins (TO),Total,Total,9,13,15,10,5,11,4,9,5,9,11,7
MU,1707207,Dois Irmãos do Tocantins (TO),Total,Total,3,7,7,4,8,8,6,6,5,6,4,1
MU,1707306,Dueré (TO),Total,Total,4,3,4,7,7,3,6,2,3,3,6,3
MU,1707405,Esperantina (TO),Total,Total,12,12,20,11,10,12,7,10,13,12,8,10
MU,1707553,Fátima (TO),Total,Total,9,3,5,3,11,3,5,7,5,9,1,6
MU,1707652,Figueirópolis (TO),Total,Total,4,7,7,12,6,3,8,5,2,9,8,3
MU,1707702,Filadélfia (TO),Total,Total,12,4,12,8,10,6,9,10,12,12,9,3
MU,1708205,Formoso do Araguaia (TO),Total,Total,13,23,26,19,18,21,31,24,12,25,18,20
MU,1708254,Fortaleza do Tabocão (TO),Total,Total,2,3,6,6,8,5,5,3,2,4,3,4
MU,1708304,Goianorte (TO),Total,Total,4,4,4,4,3,5,5,2,2,4,3,-
MU,1709005,Goiatins (TO),Total,Total,20,17,25,15,20,21,29,25,21,17,17,19
MU,1709302,Guaraí (TO),Total,Total,24,39,26,33,44,28,26,24,30,33,25,28
MU,1709500,Gurupi (TO),Total,Total,111,101,125,114,115,95,97,101,120,102,102,71
MU,1709807,Ipueiras (TO),Total,Total,3,1,1,3,2,2,-,4,1,-,3,-
MU,1710508,Itacajá (TO),Total,Total,11,5,13,7,8,7,9,12,12,13,6,6
MU,1710706,Itaguatins (TO),Total,Total,6,6,8,4,6,5,3,9,8,7,11,3
MU,1710904,Itapiratins (TO),Total,Total,6,4,4,7,11,5,3,5,2,2,1,2
MU,1711100,Itaporã do Tocantins (TO),Total,Total,3,2,4,2,4,2,9,2,3,3,1,1
MU,1711506,Jaú do Tocantins (TO),Total,Total,3,3,3,1,5,2,4,2,4,2,2,5
MU,1711803,Juarina (TO),Total,Total,3,-,4,-,7,1,6,4,6,6,3,5
MU,1711902,Lagoa da Confusão (TO),Total,Total,18,18,21,26,27,24,17,16,9,12,24,11
MU,1711951,Lagoa do Tocantins (TO),Total,Total,6,7,4,6,7,4,8,4,6,6,5,3
MU,1712009,Lajeado (TO),Total,Total,5,10,2,6,4,4,5,3,5,2,4,3
MU,1712157,Lavandeira (TO),Total,Total,-,2,3,-,3,-,2,-,-,1,2,2
MU,1712405,Lizarda (TO),Total,Total,4,5,-,3,3,3,3,5,2,3,5,1
MU,1712454,Luzinópolis (TO),Total,Total,6,3,6,6,4,3,6,8,4,4,3,3
MU,1712504,Marianópolis do Tocantins (TO),Total,Total,1,7,7,3,6,9,8,6,4,3,6,3
MU,1712702,Mateiros (TO),Total,Total,2,5,5,-,4,2,1,5,2,4,2,2
MU,1712801,Maurilândia do Tocantins (TO),Total,Total,2,1,2,6,3,1,-,3,4,3,3,3
MU,1713205,Miracema do Tocantins (TO),Total,Total,15,24,25,34,33,28,19,25,18,17,23,19
MU,1713304,Miranorte (TO),Total,Total,14,13,18,18,20,13,15,15,13,10,9,14
MU,1713601,Monte do Carmo (TO),Total,Total,7,11,5,9,6,6,13,7,6,6,7,6
MU,1713700,Monte Santo do Tocantins (TO),Total,Total,1,2,4,5,2,1,2,5,1,4,1,2
MU,1713809,Palmeiras do Tocantins (TO),Total,Total,5,3,9,14,8,6,10,3,8,6,5,7
MU,1713957,Muricilândia (TO),Total,Total,6,5,2,5,3,3,4,4,2,7,2,3
MU,1714203,Natividade (TO),Total,Total,8,12,14,10,17,8,11,5,12,8,9,8
MU,1714302,Nazaré (TO),Total,Total,3,3,4,2,4,5,3,6,5,3,3,3
MU,1714880,Nova Olinda (TO),Total,Total,19,18,13,16,17,15,16,14,8,9,21,13
MU,1715002,Nova Rosalândia (TO),Total,Total,5,11,3,7,4,2,4,3,2,3,1,2
MU,1715101,Novo Acordo (TO),Total,Total,6,8,6,4,7,9,9,4,5,6,6,2
MU,1715150,Novo Alegre (TO),Total,Total,7,1,5,4,2,2,1,2,-,1,-,1
MU,1715259,Novo Jardim (TO),Total,Total,2,2,3,2,5,3,-,4,5,3,4,3
MU,1715507,Oliveira de Fátima (TO),Total,Total,-,-,1,2,3,-,1,2,1,3,1,3
MU,1715705,Palmeirante (TO),Total,Total,5,6,7,8,9,4,4,6,7,6,7,2
MU,1715754,Palmeirópolis (TO),Total,Total,2,8,10,5,6,6,16,4,10,5,5,6
MU,1716109,Paraíso do Tocantins (TO),Total,Total,73,62,81,73,68,84,72,76,58,62,65,54
MU,1716208,Paranã (TO),Total,Total,8,6,13,13,17,9,17,12,7,7,8,12
MU,1716307,Pau D'Arco (TO),Total,Total,8,4,5,8,5,4,5,6,8,5,7,4
MU,1716505,Pedro Afonso (TO),Total,Total,10,18,22,23,21,18,18,19,21,20,17,7
MU,1716604,Peixe (TO),Total,Total,11,12,8,19,11,8,7,8,7,9,10,16
MU,1716653,Pequizeiro (TO),Total,Total,8,2,-,6,5,3,6,4,8,4,-,5
MU,1716703,Colméia (TO),Total,Total,9,9,11,12,9,8,9,11,11,5,3,12
MU,1717008,Pindorama do Tocantins (TO),Total,Total,4,6,2,2,5,4,3,3,4,4,6,3
MU,1717206,Piraquê (TO),Total,Total,4,3,5,1,1,2,3,3,2,4,2,3
MU,1717503,Pium (TO),Total,Total,4,8,5,6,7,8,10,6,2,8,5,7
MU,1717800,Ponte Alta do Bom Jesus (TO),Total,Total,-,5,5,4,5,3,2,5,2,4,6,1
MU,1717909,Ponte Alta do Tocantins (TO),Total,Total,2,4,11,15,10,4,4,8,12,12,10,15
MU,1718006,Porto Alegre do Tocantins (TO),Total,Total,2,9,6,4,6,6,5,4,2,2,5,2
MU,1718204,Porto Nacional (TO),Total,Total,76,98,82,88,83,97,71,80,75,72,53,45
MU,1718303,Praia Norte (TO),Total,Total,3,1,17,18,16,8,8,8,14,9,9,18
MU,1718402,Presidente Kennedy (TO),Total,Total,2,2,3,3,4,4,4,2,4,3,5,5
MU,1718451,Pugmil (TO),Total,Total,2,6,1,3,3,4,2,7,6,1,2,2
MU,1718501,Recursolândia (TO),Total,Total,2,3,12,4,3,1,6,3,7,7,3,3
MU,1718550,Riachinho (TO),Total,Total,8,3,8,4,6,5,6,3,6,5,2,7
MU,1718659,Rio da Conceição (TO),Total,Total,5,2,3,3,3,4,7,2,3,4,4,3
MU,1718709,Rio dos Bois (TO),Total,Total,1,3,4,4,6,4,1,6,3,2,1,2
MU,1718758,Rio Sono (TO),Total,Total,1,3,5,6,2,5,5,3,4,4,5,4
MU,1718808,Sampaio (TO),Total,Total,5,5,9,7,8,6,6,7,9,8,7,8
MU,1718840,Sandolândia (TO),Total,Total,3,2,8,3,5,5,4,6,2,2,1,6
MU,1718865,Santa Fé do Araguaia (TO),Total,Total,12,12,9,9,17,9,7,8,8,9,6,7
MU,1718881,Santa Maria do Tocantins (TO),Total,Total,3,2,1,4,3,6,2,5,3,3,1,2
MU,1718899,Santa Rita do Tocantins (TO),Total,Total,3,1,-,-,2,4,-,1,1,-,2,-
MU,1718907,Santa Rosa do Tocantins (TO),Total,Total,6,8,5,14,10,9,4,5,2,8,5,4
MU,1719004,Santa Tereza do Tocantins (TO),Total,Total,6,4,3,1,3,3,4,3,4,5,1,3
MU,1720002,Santa Terezinha do Tocantins (TO),Total,Total,3,2,1,8,7,3,8,3,2,3,1,2
MU,1720101,São Bento do Tocantins (TO),Total,Total,8,5,6,11,9,4,7,7,6,6,9,5
MU,1720150,São Félix do Tocantins (TO),Total,Total,-,5,2,2,5,2,-,1,1,-,-,1
MU,1720200,São Miguel do Tocantins (TO),Total,Total,25,19,11,21,21,16,18,15,19,20,12,11
MU,1720259,São Salvador do Tocantins (TO),Total,Total,3,6,3,3,5,2,5,2,4,1,2,1
MU,1720309,São Sebastião do Tocantins (TO),Total,Total,6,6,9,9,5,8,8,4,6,8,1,1
MU,1720499,São Valério (TO),Total,Total,5,4,4,10,3,4,3,3,5,-,2,2
MU,1720655,Silvanópolis (TO),Total,Total,4,7,6,9,10,4,3,7,3,5,4,8
MU,1720804,Sítio Novo do Tocantins (TO),Total,Total,7,9,17,7,12,15,8,11,12,8,5,7
MU,1720853,Sucupira (TO),Total,Total,5,2,2,6,2,2,1,2,-,2,-,1
MU,1720903,Taguatinga (TO),Total,Total,7,11,25,13,21,17,14,14,16,12,17,7
MU,1720937,Taipas do Tocantins (TO),Total,Total,1,1,1,3,1,6,1,4,3,3,-,1
MU,1720978,Talismã (TO),Total,Total,1,4,2,6,3,4,1,3,1,5,4,2
MU,1721000,Palmas (TO),Total,Total,389,396,443,456,430,417,401,370,350,226,223,183
MU,1721109,Tocantínia (TO),Total,Total,17,13,13,16,19,16,15,8,15,5,12,3
MU,1721208,Tocantinópolis (TO),Total,Total,25,36,20,39,35,43,36,33,32,28,24,23
MU,1721257,Tupirama (TO),Total,Total,2,3,3,2,-,2,3,3,2,1,3,1
MU,1721307,Tupiratins (TO),Total,Total,4,3,1,-,2,2,3,1,3,1,3,1
MU,1722081,Wanderlândia (TO),Total,Total,5,15,13,11,12,11,13,9,10,15,8,3
MU,1722107,Xambioá (TO),Total,Total,21,13,10,9,19,15,11,13,17,15,6,11
MU,2100055,Açailândia (MA),Total,Total,152,157,155,174,169,155,157,156,161,159,130,108
MU,2100105,Afonso Cunha (MA),Total,Total,17,10,15,7,13,15,6,7,15,3,17,7
MU,2100154,Água Doce do Maranhão (MA),Total,Total,9,11,10,13,13,9,15,13,13,7,6,8
MU,2100204,Alcântara (MA),Total,Total,22,13,11,19,9,4,13,9,10,6,4,8
MU,2100303,Aldeias Altas (MA),Total,Total,32,33,39,39,28,32,34,43,31,27,24,20
MU,2100402,Altamira do Maranhão (MA),Total,Total,8,4,6,6,10,7,11,5,11,3,4,9
MU,2100436,Alto Alegre do Maranhão (MA),Total,Total,39,26,44,43,46,20,28,38,31,36,32,37
MU,2100477,Alto Alegre do Pindaré (MA),Total,Total,30,25,41,34,62,48,37,50,37,38,33,31
MU,2100501,Alto Parnaíba (MA),Total,Total,8,10,24,13,15,13,15,17,17,10,12,10
MU,2100550,Amapá do Maranhão (MA),Total,Total,12,8,15,11,15,14,10,9,11,6,19,9
MU,2100600,Amarante do Maranhão (MA),Total,Total,62,57,64,68,63,70,67,71,56,57,48,51
MU,2100709,Anajatuba (MA),Total,Total,22,29,21,34,32,35,28,32,27,38,24,30
MU,2100808,Anapurus (MA),Total,Total,22,17,20,23,17,32,21,26,13,27,14,17
MU,2100832,Apicum-Açu (MA),Total,Total,30,28,29,26,26,20,31,32,15,21,28,16
MU,2100873,Araguanã (MA),Total,Total,8,14,14,17,13,16,14,10,13,15,7,12
MU,2100907,Araioses (MA),Total,Total,64,52,41,54,67,43,46,66,47,53,52,42
MU,2100956,Arame (MA),Total,Total,16,17,42,56,46,37,41,50,43,50,41,32
MU,2101004,Arari (MA),Total,Total,36,40,51,31,36,30,48,38,41,32,45,27
MU,2101103,Axixá (MA),Total,Total,14,18,17,16,14,15,21,13,20,15,8,12
MU,2101202,Bacabal (MA),Total,Total,148,115,127,138,124,139,105,102,104,117,99,100
MU,2101251,Bacabeira (MA),Total,Total,25,19,15,28,17,14,15,23,26,11,19,19
MU,2101301,Bacuri (MA),Total,Total,17,19,17,22,13,22,18,25,22,14,11,9
MU,2101350,Bacurituba (MA),Total,Total,8,4,6,2,7,7,4,4,5,6,5,2
MU,2101400,Balsas (MA),Total,Total,138,137,159,156,161,169,139,153,164,161,139,141
MU,2101509,Barão de Grajaú (MA),Total,Total,24,26,29,19,32,17,22,19,20,23,19,21
MU,2101608,Barra do Corda (MA),Total,Total,103,121,128,124,123,102,90,96,129,95,80,93
MU,2101707,Barreirinhas (MA),Total,Total,87,89,93,104,95,107,111,112,116,82,105,103
MU,2101731,Belágua (MA),Total,Total,1,4,2,1,2,3,3,2,-,-,1,1
MU,2101772,Bela Vista do Maranhão (MA),Total,Total,22,13,22,15,18,18,22,22,17,18,18,5
MU,2101806,Benedito Leite (MA),Total,Total,5,5,10,4,2,9,7,8,5,7,9,5
MU,2101905,Bequimão (MA),Total,Total,18,15,19,20,19,14,23,22,25,15,18,32
MU,2101939,Bernardo do Mearim (MA),Total,Total,3,2,8,8,3,4,2,1,6,5,3,3
MU,2101970,Boa Vista do Gurupi (MA),Total,Total,13,6,11,8,16,13,10,10,12,9,8,6
MU,2102002,Bom Jardim (MA),Total,Total,48,52,65,40,46,50,49,47,46,45,42,39
MU,2102036,Bom Jesus das Selvas (MA),Total,Total,40,60,51,42,64,54,50,50,42,57,27,28
MU,2102077,Bom Lugar (MA),Total,Total,9,7,15,13,15,9,13,11,9,20,7,15
MU,2102101,Brejo (MA),Total,Total,39,27,39,49,44,44,48,39,33,48,35,28
MU,2102150,Brejo de Areia (MA),Total,Total,4,7,8,7,9,18,13,14,11,6,6,6
MU,2102200,Buriti (MA),Total,Total,40,43,60,35,49,41,37,31,48,34,38,30
MU,2102309,Buriti Bravo (MA),Total,Total,29,30,31,32,30,42,22,39,41,28,19,18
MU,2102325,Buriticupu (MA),Total,Total,99,106,138,124,109,104,124,128,120,94,124,112
MU,2102358,Buritirana (MA),Total,Total,18,13,15,18,16,22,14,15,11,16,17,15
MU,2102374,Cachoeira Grande (MA),Total,Total,2,4,2,7,6,4,15,15,15,9,12,10
MU,2102408,Cajapió (MA),Total,Total,17,11,9,14,23,15,12,15,13,13,11,13
MU,2102507,Cajari (MA),Total,Total,24,22,27,29,19,24,21,26,24,31,19,23
MU,2102556,Campestre do Maranhão (MA),Total,Total,13,11,14,21,24,17,17,20,20,16,17,8
MU,2102606,Cândido Mendes (MA),Total,Total,24,23,15,26,18,21,36,24,33,24,13,20
MU,2102705,Cantanhede (MA),Total,Total,22,20,14,15,34,22,18,19,20,16,21,17
MU,2102754,Capinzal do Norte (MA),Total,Total,7,17,9,11,7,16,13,16,5,18,18,14
MU,2102804,Carolina (MA),Total,Total,18,25,18,29,26,24,31,26,26,29,21,26
MU,2102903,Carutapera (MA),Total,Total,41,43,31,35,37,46,49,31,34,34,27,26
MU,2103000,Caxias (MA),Total,Total,225,217,204,235,232,173,209,203,209,185,153,157
MU,2103109,Cedral (MA),Total,Total,7,10,10,15,14,12,7,4,14,6,6,8
MU,2103125,Central do Maranhão (MA),Total,Total,4,6,5,8,10,7,4,9,12,8,5,7
MU,2103158,Centro do Guilherme (MA),Total,Total,22,12,18,15,13,19,10,19,15,18,6,15
MU,2103174,Centro Novo do Maranhão (MA),Total,Total,31,31,22,19,35,36,24,23,27,30,20,20
MU,2103208,Chapadinha (MA),Total,Total,141,121,154,124,128,124,125,128,115,96,83,83
MU,2103257,Cidelândia (MA),Total,Total,14,12,22,22,20,10,12,14,12,23,17,12
MU,2103307,Codó (MA),Total,Total,140,133,156,159,175,156,165,147,161,154,135,121
MU,2103406,Coelho Neto (MA),Total,Total,68,47,59,49,77,56,57,57,52,51,61,53
MU,2103505,Colinas (MA),Total,Total,40,60,54,65,47,40,28,40,54,61,63,51
MU,2103554,Conceição do Lago-Açu (MA),Total,Total,16,22,21,29,13,19,18,20,24,14,19,17
MU,2103604,Coroatá (MA),Total,Total,82,81,93,115,90,83,80,80,64,96,66,77
MU,2103703,Cururupu (MA),Total,Total,36,37,35,45,60,36,43,45,33,37,31,40
MU,2103752,Davinópolis (MA),Total,Total,19,25,27,22,17,17,20,16,21,11,15,18
MU,2103802,Dom Pedro (MA),Total,Total,31,37,37,34,33,21,27,30,24,34,34,23
MU,2103901,Duque Bacelar (MA),Total,Total,13,17,22,16,23,14,20,16,14,10,16,9
MU,2104008,Esperantinópolis (MA),Total,Total,26,30,36,25,23,24,30,27,21,22,15,19
MU,2104057,Estreito (MA),Total,Total,48,51,44,58,68,37,43,49,49,45,49,35
MU,2104073,Feira Nova do Maranhão (MA),Total,Total,11,7,10,3,7,8,8,10,5,5,9,8
MU,2104081,Fernando Falcão (MA),Total,Total,13,11,11,14,12,8,16,15,11,9,11,7
MU,2104099,Formosa da Serra Negra (MA),Total,Total,18,26,28,20,35,23,27,19,10,18,13,15
MU,2104107,Fortaleza dos Nogueiras (MA),Total,Total,13,15,13,19,24,20,14,14,19,13,13,17
MU,2104206,Fortuna (MA),Total,Total,28,28,24,30,33,26,26,28,22,23,29,12
MU,2104305,Godofredo Viana (MA),Total,Total,7,8,13,9,10,11,15,18,9,13,10,12
MU,2104404,Gonçalves Dias (MA),Total,Total,17,25,21,16,16,20,29,22,21,27,16,15
MU,2104503,Governador Archer (MA),Total,Total,9,10,12,17,18,18,10,14,9,18,13,17
