 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:1994
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Ignorado";"Total"
"170610 Cristalândia";27;21;17;12;14;21;34;7;19;20;12;24;-;228
"170650 Darcinópolis";-;1;1;-;-;-;-;1;5;-;-;1;-;9
"170700 Dianópolis";27;4;11;18;12;9;15;20;24;24;11;11;-;186
"170710 Divinópolis do Tocantins";13;5;8;19;14;14;8;16;20;23;17;12;-;169
"170720 Dois Irmãos do Tocantins";8;10;9;7;6;6;5;8;9;14;10;8;-;100
"170730 Dueré";10;12;10;9;10;7;11;9;5;4;1;7;-;95
"170740 Esperantina";-;9;7;2;1;4;9;11;9;7;8;6;-;73
"170755 Fátima";7;5;6;13;9;8;9;4;16;9;3;6;-;95
"170765 Figueirópolis";6;10;7;10;10;8;10;6;4;10;9;8;-;98
"170770 Filadélfia";15;9;17;10;9;8;8;7;11;7;8;8;-;117
"170820 Formoso do Araguaia";34;22;45;35;33;36;46;39;25;10;9;18;1;353
"170825 Fortaleza do Tabocão";-;-;-;2;1;2;5;2;4;2;2;-;-;20
"170830 Goianorte";7;5;9;14;13;5;8;7;7;3;7;8;-;93
"170900 Goiatins";20;16;20;17;19;19;19;33;34;28;16;18;-;259
"170930 Guaraí";7;5;5;5;7;26;46;59;55;55;43;24;-;337
"170950 Gurupi";150;123;164;196;174;138;151;129;110;112;121;96;1;1665
"171050 Itacajá";9;15;8;2;13;10;7;15;9;7;2;6;-;103
"171070 Itaguatins";4;3;1;4;8;9;12;8;10;6;4;7;-;76
"171090 Itapiratins";1;-;3;2;2;1;-;4;3;3;2;3;-;24
"171110 Itaporã do Tocantins";4;2;7;5;9;5;8;9;6;3;6;-;-;64
"171150 Jaú do Tocantins";7;6;1;10;7;3;2;3;3;5;7;4;-;58
"171180 Juarina";2;4;2;5;1;1;5;6;3;9;1;-;-;39
"171190 Lagoa da Confusão";10;4;5;4;7;6;5;5;7;4;6;7;-;70
"171195 Lagoa do Tocantins";1;1;2;4;3;1;2;1;1;2;1;1;-;20
"171200 Lajeado";1;1;3;2;2;-;5;1;5;1;5;4;-;30
"171240 Lizarda";-;9;3;7;5;3;4;3;5;4;4;3;-;50
"171250 Marianópolis do Tocantins";1;5;4;5;3;1;2;7;4;7;10;6;-;55
"171270 Mateiros";1;2;2;2;1;1;2;1;2;-;1;-;-;15
