Sigla,Codigo,Munic’pio,1991,2000
BA,2933208,Vera Cruz,20308,27872
BA,2933257,Vereda,961,1276
BA,2933307,Vit—ria da Conquista,188351,225545
BA,2933406,Wagner,4818,6037
BA,2933455,Wanderley,4706,5478
BA,2933505,Wenceslau Guimar‹es,4033,6790
BA,2933604,Xique-Xique,26664,31565
BA,2999919,Trancoso,,
BA,2999929,Barcellos,,
BA,2999939,Olivença,,
BA,2999949,Villa Verde,,
CE,2300101,Abaiara,2696,3208
CE,2300150,Acarap_,5383,7025
CE,2300200,Acaraœ,16623,24582
CE,2300309,Acopiara,17768,22230
CE,2300408,Aiuaba,2096,3162
CE,2300507,Alc‰ntaras,1963,2762
CE,2300606,Altaneira,2799,3787
CE,2300705,Alto Santo,3919,5447
CE,2300754,Amontada,8836,11802
CE,2300804,Antonina do Norte,3120,4429
CE,2300903,Apuiar_s,3828,5453
CE,2301000,Aquiraz,40772,54682
CE,2301109,Aracati,31465,39179
CE,2301208,Aracoiaba,10478,12205
CE,2301257,Ararend‡,3045,4075
CE,2301307,Araripe,7011,10151
CE,2301406,Aratuba,1510,2157
CE,2301505,Arneiroz,1382,2146
CE,2301604,Assar_,6357,9428
CE,2301703,Aurora,8820,10080
CE,2301802,Baixio,2117,2585
CE,2301851,Banabuiœ,4021,7622
CE,2301901,Barbalha,24302,30669
CE,2301950,Barreira,3341,6375
CE,2302008,Barro,8323,10866
CE,2302057,Barroquinha,6065,9096
CE,2302107,Baturit_,16199,20846
CE,2302206,Beberibe,10520,19697
CE,2302305,Bela Cruz,9344,11585
CE,2302404,Boa Viagem,14566,20820
CE,2302503,Brejo Santo,17364,22678
CE,2302602,Camocim,34167,40684
CE,2302701,Campos Sales,13874,17135
CE,2302800,Canind_,30115,39573
CE,2302909,Capistrano,4459,5252
CE,2303006,Caridade,5646,8381
CE,2303105,Carir_,3822,5459
CE,2303204,Caririaçu,7237,10618
CE,2303303,Cariœs,4786,7170
CE,2303402,Carnaubal,5417,6925
CE,2303501,Cascavel,37093,47453
CE,2303600,Catarina,3676,6465
